"Address","Type","Category","Occurrences","Priority","Suggested_Label","Example_Contexts"
"$1A3A","WRAM","WRAM (Low)","4","Low","wram_1a3a","graphics_engine_historical.asm:sta $1a3a; graphics_engine_historical.asm:eor $1a3a; graphics_engine.asm:sta $1a3a"
"$4202","Hardware","CPU Registers/DMA/PPU","4","Low","WRMPYA","graphics_engine_historical.asm:sta $4202; graphics_engine_historical.asm:sta $4202; graphics_engine.asm:sta $4202"
"$4203","Hardware","CPU Registers/DMA/PPU","4","Low","WRMPYB","graphics_engine_historical.asm:sta $4203; graphics_engine_historical.asm:sta $4203; graphics_engine.asm:sta $4203"
"$1A4C","WRAM","WRAM (Low)","4","Low","wram_1a4c","graphics_engine_historical.asm:sta $1a4c; graphics_engine_historical.asm:lda $1a4c; graphics_engine.asm:sta $1a4c"
"$01B2","WRAM","Stack","4","Low","wram_01b2","graphics_engine_historical.asm:jsl $01b24b; graphics_engine_historical.asm:jsl $01b24b; graphics_engine.asm:jsl $01b24b"
"$00DA","WRAM","Zero Page (Direct Page)","4","Low","var_00da","graphics_engine_historical.asm:and $00da; graphics_engine_historical.asm:and $00da; graphics_engine.asm:and $00da"
"$0498","WRAM","WRAM (Low)","4","Low","wram_0498","graphics_engine_historical.asm:lda $049800; graphics_engine_historical.asm:lda $049800; graphics_engine.asm:lda $049800"
"$06BE","WRAM","WRAM (Low)","4","Low","wram_06be","graphics_engine_historical.asm:lda $06be77; graphics_engine_historical.asm:lda $06bee3; graphics_engine.asm:lda $06be77"
"$1A35","WRAM","WRAM (Low)","4","Low","wram_1a35","graphics_engine_historical.asm:sta $1a35; graphics_engine_historical.asm:lda $1a35; graphics_engine.asm:sta $1a35"
"$2180","PPU","PPU Registers","4","Low","ppu_2180","graphics_engine_historical.asm:sta $2180; graphics_engine_historical.asm:sta $2180; graphics_engine.asm:sta $2180"
"$0B84","WRAM","WRAM (Low)","4","Low","wram_0b84","graphics_engine_historical.asm:jsl $0b84fb; graphics_engine_historical.asm:jsl $0b841d; graphics_engine.asm:jsl $0b84fb"
